movieName,differenceFrequency,rating
An American Christmas Carol,8,4
An American Christmas Carol,5,3
An American Christmas Carol,2,3
An American Christmas Carol,3,5
An American Christmas Carol,4,4
An American Christmas Carol,7,5
An American Christmas Carol,17,5
An American Christmas Carol,6,5
An American Christmas Carol,3,5
An American Christmas Carol,6,5
An American Christmas Carol,12,5
An American Christmas Carol,6,5
An American Christmas Carol,2,3
An American Christmas Carol,13,5
An American Christmas Carol,4,4
An American Christmas Carol,6,5
An American Christmas Carol,2,5
An American Christmas Carol,1,4
An American Christmas Carol,-1,5
An American Christmas Carol,3,5
An American Christmas Carol,2,2
An American Christmas Carol,8,5
An American Christmas Carol,21,5
An American Christmas Carol,8,5
An American Christmas Carol,1,5
An American Christmas Carol,7,5
An American Christmas Carol,11,4
An American Christmas Carol,3,5
An American Christmas Carol,9,5
An American Christmas Carol,3,4
An American Christmas Carol,3,5
An American Christmas Carol,2,4
An American Christmas Carol,9,5
An American Christmas Carol,4,5
An American Christmas Carol,9,5
An American Christmas Carol,1,4
An American Christmas Carol,3,5
An American Christmas Carol,2,5
An American Christmas Carol,8,4
An American Christmas Carol,6,5
An American Christmas Carol,6,5
An American Christmas Carol,7,5
An American Christmas Carol,1,4
An American Christmas Carol,1,5
An American Christmas Carol,6,4
An American Christmas Carol,5,5
An American Christmas Carol,10,5
An American Christmas Carol,4,2
An American Christmas Carol,2,5
An American Christmas Carol,4,5
An American Christmas Carol,21,4
An American Christmas Carol,1,5
An American Christmas Carol,5,5
An American Christmas Carol,4,3
An American Christmas Carol,1,4
An American Christmas Carol,2,5
An American Christmas Carol,6,5
An American Christmas Carol,5,5
An American Christmas Carol,16,4
An American Christmas Carol,2,4
An American Christmas Carol,6,5
An American Christmas Carol,-1,5
An American Christmas Carol,4,5
An American Christmas Carol,3,5
An American Christmas Carol,1,5
An American Christmas Carol,5,3
An American Christmas Carol,4,5
An American Christmas Carol,6,4
An American Christmas Carol,7,4
An American Christmas Carol,2,4
An American Christmas Carol,4,3
An American Christmas Carol,10,3
An American Christmas Carol,13,5
An American Christmas Carol,1,2
An American Christmas Carol,1,5
An American Christmas Carol,13,3
An American Christmas Carol,5,4
An American Christmas Carol,11,5
An American Christmas Carol,20,5
An American Christmas Carol,16,5
An American Christmas Carol,14,4
An American Christmas Carol,11,3
An American Christmas Carol,1,5
An American Christmas Carol,4,4
An American Christmas Carol,11,4
An American Christmas Carol,14,5
An American Christmas Carol,2,5
An American Christmas Carol,0,4
An American Christmas Carol,5,5
An American Christmas Carol,0,5
An American Christmas Carol,5,5
An American Christmas Carol,4,5
An American Christmas Carol,3,5
An American Christmas Carol,3,4
An American Christmas Carol,25,5
An American Christmas Carol,3,3
An American Christmas Carol,5,4
An American Christmas Carol,4,4
An American Christmas Carol,7,4
An American Christmas Carol,7,5
An American Christmas Carol,3,5
An American Christmas Carol,1,4
An American Christmas Carol,3,5
An American Christmas Carol,4,5
An American Christmas Carol,17,3
An American Christmas Carol,3,5
An American Christmas Carol,4,5
An American Christmas Carol,2,5
An American Christmas Carol,3,5
Joseph,6,4
Joseph,3,5
Joseph,25,5
Joseph,22,5
Joseph,15,5
Joseph,4,5
Joseph,11,5
Joseph,1,5
Joseph,15,5
Joseph,13,5
Joseph,3,5
Joseph,18,5
Joseph,4,5
Joseph,1,5
Joseph,2,5
Joseph,29,5
Joseph,6,5
Joseph,13,5
Joseph,14,5
Joseph,29,5
Joseph,9,5
Joseph,6,5
Joseph,7,5
Joseph,0,5
Joseph,5,5
Joseph,1,4
Joseph,5,5
Joseph,4,5
Joseph,22,5
Joseph,6,5
Joseph,25,2
Joseph,16,5
Joseph,11,5
Joseph,4,5
Joseph,3,5
Joseph,5,5
Joseph,6,5
Joseph,9,5
Joseph,2,5
Joseph,3,5
Joseph,38,5
Joseph,5,5
Joseph,9,5
Joseph,9,5
Joseph,4,4
Joseph,12,5
Joseph,4,5
Joseph,10,4
Joseph,6,5
Joseph,20,5
Joseph,14,5
Joseph,11,5
Joseph,13,3
Joseph,2,5
Joseph,3,5
Joseph,4,5
Joseph,4,5
Joseph,5,4
Joseph,0,5
Joseph,2,4
Joseph,38,5
Joseph,4,5
Joseph,8,5
Joseph,6,5
Joseph,8,5
Joseph,13,5
Joseph,7,5
Joseph,3,5
Joseph,18,4
Joseph,4,5
Joseph,2,5
Joseph,4,5
Joseph,17,4
Joseph,11,5
Joseph,5,5
Joseph,15,5
Joseph,5,5
Joseph,5,1
Joseph,3,5
Joseph,5,5
Joseph,9,5
Joseph,4,5
Joseph,16,4
Joseph,30,5
Joseph,16,4
Joseph,14,5
Joseph,20,5
Joseph,2,5
Joseph,7,5
Joseph,5,5
Joseph,9,5
Joseph,3,5
Mouse on the Mayflower,16,5
Mouse on the Mayflower,20,4
Mouse on the Mayflower,33,5
Mouse on the Mayflower,11,5
Mouse on the Mayflower,21,5
Frosty the Snowman,1,5
Frosty the Snowman,10,5
Frosty the Snowman,4,5
Frosty the Snowman,5,5
Frosty the Snowman,2,4
Frosty the Snowman,1,5
Frosty the Snowman,3,5
Frosty the Snowman,0,5
Frosty the Snowman,6,5
Frosty the Snowman,10,5
Frosty the Snowman,7,5
Frosty the Snowman,3,5
Frosty the Snowman,2,5
Frosty the Snowman,12,5
Frosty the Snowman,4,5
Frosty the Snowman,3,5
Frosty the Snowman,13,4
Frosty the Snowman,33,4
Frosty the Snowman,4,5
Frosty the Snowman,4,5
Frosty the Snowman,4,5
Frosty the Snowman,14,5
Frosty the Snowman,2,5
Frosty the Snowman,1,5
Frosty the Snowman,46,5
Frosty the Snowman,1,5
Frosty the Snowman,3,4
Frosty the Snowman,2,4
Frosty the Snowman,8,5
Frosty the Snowman,11,5
Frosty the Snowman,10,3
Frosty the Snowman,6,5
Frosty the Snowman,1,5
Frosty the Snowman,13,5
Frosty the Snowman,17,3
Frosty the Snowman,5,5
Frosty the Snowman,-1,5
Frosty the Snowman,18,5
Frosty the Snowman,9,4
Frosty the Snowman,4,5
Frosty Returns,5,5
Frosty Returns,11,2
Frosty Returns,1,1
Frosty Returns,37,4
Frosty Returns,6,1
Frosty Returns,3,1
The Little Drummer Boy,2,5
The Little Drummer Boy,4,5
The Little Drummer Boy,6,5
The Little Drummer Boy,0,5
The Little Drummer Boy,4,5
The Little Drummer Boy,18,5
The Little Drummer Boy,2,5
The Little Drummer Boy,1,5
The Little Drummer Boy,6,5
The Little Drummer Boy,18,5
The Little Drummer Boy,6,5
The Little Drummer Boy,12,5
The Little Drummer Boy,-1,5
The Little Drummer Boy,-2,5
The Little Drummer Boy,3,5
The Little Drummer Boy,0,5
The Little Drummer Boy,20,3
The Little Drummer Boy,-1,5
The Little Drummer Boy,2,5
The Little Drummer Boy,1,5
The Little Drummer Boy,8,5
The Little Drummer Boy,7,2
The Little Drummer Boy,1,5
The Little Drummer Boy,2,5
The Little Drummer Boy,9,5
The Little Drummer Boy,2,5
The Little Drummer Boy,4,5
The Little Drummer Boy,15,1
The Little Drummer Boy,9,3
The Little Drummer Boy,4,5
The Little Drummer Boy,0,5
The Little Drummer Boy,8,5
The Little Drummer Boy,5,4
The Little Drummer Boy,3,5
The Little Drummer Boy,6,4
The Little Drummer Boy,12,5
The Little Drummer Boy,6,5
The Little Drummer Boy,11,5
The Little Drummer Boy,4,5
The Little Drummer Boy,1,5
The Little Drummer Boy,6,5
The Little Drummer Boy,8,5
The Little Drummer Boy,6,5
The Little Drummer Boy,9,5
The Little Drummer Boy,4,5
The Little Drummer Boy,4,5
The Little Drummer Boy,0,5
The Little Drummer Boy,9,5
The Little Drummer Boy,5,5
The Little Drummer Boy,26,5
The Little Drummer Boy,9,4
The Little Drummer Boy,7,1
The Little Drummer Boy,-1,5
The Little Drummer Boy,3,5
Rudolph the Red Nosed Reindeer,6,5
Rudolph the Red Nosed Reindeer,2,5
Rudolph the Red Nosed Reindeer,5,5
Rudolph the Red Nosed Reindeer,0,5
Rudolph the Red Nosed Reindeer,3,5
Rudolph the Red Nosed Reindeer,4,5
Rudolph the Red Nosed Reindeer,3,5
Rudolph the Red Nosed Reindeer,4,5
Rudolph the Red Nosed Reindeer,3,5
Rudolph the Red Nosed Reindeer,11,5
Rudolph the Red Nosed Reindeer,11,5
Rudolph the Red Nosed Reindeer,3,5
Rudolph the Red Nosed Reindeer,36,5
Rudolph the Red Nosed Reindeer,9,5
Rudolph the Red Nosed Reindeer,17,5
Rudolph the Red Nosed Reindeer,36,5
Rudolph the Red Nosed Reindeer,6,5
Rudolph the Red Nosed Reindeer,0,5
Rudolph the Red Nosed Reindeer,6,5
Rudolph the Red Nosed Reindeer,8,5
Rudolph the Red Nosed Reindeer,10,5
Rudolph the Red Nosed Reindeer,40,5
Rudolph the Red Nosed Reindeer,93,5
Rudolph the Red Nosed Reindeer,3,5
Rudolph the Red Nosed Reindeer,3,5
Rudolph the Red Nosed Reindeer,15,5
Rudolph the Red Nosed Reindeer,3,5
Rudolph the Red Nosed Reindeer,4,5
Rudolph the Red Nosed Reindeer,21,1
Rudolph the Red Nosed Reindeer,15,4
Rudolph the Red Nosed Reindeer,26,5
Rudolph the Red Nosed Reindeer,2,5
Rudolph the Red Nosed Reindeer,28,5
Rudolph the Red Nosed Reindeer,17,4
Rudolph the Red Nosed Reindeer,9,5
Rudolph the Red Nosed Reindeer,13,5
Rudolph the Red Nosed Reindeer,-1,5
Rudolph the Red Nosed Reindeer,3,5
Rudolph the Red Nosed Reindeer,1,5
Rudolph the Red Nosed Reindeer,28,4
Rudolph the Red Nosed Reindeer,13,3
Rudolph the Red Nosed Reindeer,5,1
Rudolph the Red Nosed Reindeer,19,5
Rudolph the Red Nosed Reindeer,11,3
Rudolph the Red Nosed Reindeer,23,4
Rudolph the Red Nosed Reindeer,34,4
Rudolph the Red Nosed Reindeer,14,5
Rudolph the Red Nosed Reindeer,21,5
Rudolph the Red Nosed Reindeer,28,4
Rudolph the Red Nosed Reindeer,11,5
Rudolph the Red Nosed Reindeer,5,5
Rudolph the Red Nosed Reindeer,11,4
Rudolph the Red Nosed Reindeer,23,5
Rudolph the Red Nosed Reindeer,10,5
Rudolph the Red Nosed Reindeer,3,5
Rudolph the Red Nosed Reindeer,13,5
Rudolph the Red Nosed Reindeer,5,5
Rudolph the Red Nosed Reindeer,20,5
Rudolph the Red Nosed Reindeer,6,5
Rudolph the Red Nosed Reindeer,9,5
Rudolph the Red Nosed Reindeer,22,4
Rudolph the Red Nosed Reindeer,4,5
Rudolph the Red Nosed Reindeer,4,5
Rudolph the Red Nosed Reindeer,4,5
Rudolph the Red Nosed Reindeer,12,4
Rudolph the Red Nosed Reindeer,2,5
Rudolph the Red Nosed Reindeer,1,5
Rudolph the Red Nosed Reindeer,5,5
Rudolph the Red Nosed Reindeer,23,5
Rudolph the Red Nosed Reindeer,5,5
Rudolph the Red Nosed Reindeer,3,5
Rudolph the Red Nosed Reindeer,26,5
Rudolph the Red Nosed Reindeer,4,5
Rudolph the Red Nosed Reindeer,3,5
Rudolph the Red Nosed Reindeer,3,1
Rudolph the Red Nosed Reindeer,3,5
Rudolph the Red Nosed Reindeer,9,5
Rudolph the Red Nosed Reindeer,6,5
Rudolph the Red Nosed Reindeer,49,5
Rudolph the Red Nosed Reindeer,4,5
Rudolph the Red Nosed Reindeer,13,5
Rudolph the Red Nosed Reindeer,27,5
Rudolph the Red Nosed Reindeer,0,5
Rudolph the Red Nosed Reindeer,11,5
Rudolph the Red Nosed Reindeer,2,5
Rudolph the Red Nosed Reindeer,10,5
Rudolph the Red Nosed Reindeer,9,5
Rudolph the Red Nosed Reindeer,2,5
Rudolph the Red Nosed Reindeer,8,4
Rudolph the Red Nosed Reindeer,16,5
Rudolph the Red Nosed Reindeer,19,5
Rudolph the Red Nosed Reindeer,4,5
Rudolph the Red Nosed Reindeer,8,5
Rudolph the Red Nosed Reindeer,7,5
Rudolph the Red Nosed Reindeer,3,5
Rudolph the Red Nosed Reindeer,2,4
Rudolph the Red Nosed Reindeer,6,5
Rudolph the Red Nosed Reindeer,16,5
Rudolph the Red Nosed Reindeer,1,5
Rudolph the Red Nosed Reindeer,10,4
Rudolph the Red Nosed Reindeer,9,5
Rudolph the Red Nosed Reindeer,12,5
Rudolph the Red Nosed Reindeer,12,5
Rudolph the Red Nosed Reindeer,3,5
Rudolph the Red Nosed Reindeer,14,5
Rudolph the Red Nosed Reindeer,13,5
Rudolph the Red Nosed Reindeer,7,4
Rudolph the Red Nosed Reindeer,5,5
Rudolph the Red Nosed Reindeer,22,5
Rudolph the Red Nosed Reindeer,12,1
Rudolph the Red Nosed Reindeer,11,5
Rudolph the Red Nosed Reindeer,80,5
Rudolph the Red Nosed Reindeer,10,5
Rudolph the Red Nosed Reindeer,11,5
Rudolph the Red Nosed Reindeer,4,5
Rudolph the Red Nosed Reindeer,3,5
Rudolph the Red Nosed Reindeer,14,5
Rudolph the Red Nosed Reindeer,8,4
Rudolph the Red Nosed Reindeer,16,5
Rudolph the Red Nosed Reindeer,22,5
Rudolph the Red Nosed Reindeer,2,5
Rudolph the Red Nosed Reindeer,11,5
Rudolph the Red Nosed Reindeer,0,5
Rudolph the Red Nosed Reindeer,3,5
Rudolph the Red Nosed Reindeer,12,5
Rudolph the Red Nosed Reindeer,22,5
Rudolph the Red Nosed Reindeer,15,5
Underdog,8,4
Underdog,5,5
Underdog,5,5
Underdog,12,5
Underdog,11,1
Underdog,13,5
Underdog,7,2
Underdog,9,5
Underdog,4,1
Underdog,20,5
Underdog,14,2
Underdog,4,5
Underdog,-1,2
Underdog,5,3
Underdog,9,5
Underdog,2,5
Underdog,10,3
Underdog,6,5
Gifted Hands: The Ben Carson,3,5
Gifted Hands: The Ben Carson,10,5
Gifted Hands: The Ben Carson,12,5
Gifted Hands: The Ben Carson,1,5
Gifted Hands: The Ben Carson,1,5
Gifted Hands: The Ben Carson,4,5
Gifted Hands: The Ben Carson,12,5
Gifted Hands: The Ben Carson,4,5
