movieName,negativeFrequency,rating
An American Christmas Carol,2,4
An American Christmas Carol,1,3
An American Christmas Carol,2,3
An American Christmas Carol,5,5
An American Christmas Carol,1,4
An American Christmas Carol,7,5
An American Christmas Carol,5,5
An American Christmas Carol,3,5
An American Christmas Carol,2,5
An American Christmas Carol,3,5
An American Christmas Carol,5,5
An American Christmas Carol,3,5
An American Christmas Carol,1,3
An American Christmas Carol,5,5
An American Christmas Carol,4,4
An American Christmas Carol,2,5
An American Christmas Carol,2,5
An American Christmas Carol,3,4
An American Christmas Carol,2,5
An American Christmas Carol,5,5
An American Christmas Carol,1,2
An American Christmas Carol,1,5
An American Christmas Carol,19,5
An American Christmas Carol,6,5
An American Christmas Carol,6,5
An American Christmas Carol,5,5
An American Christmas Carol,7,4
An American Christmas Carol,1,5
An American Christmas Carol,6,5
An American Christmas Carol,1,4
An American Christmas Carol,5,5
An American Christmas Carol,3,4
An American Christmas Carol,6,5
An American Christmas Carol,2,5
An American Christmas Carol,9,5
An American Christmas Carol,4,4
An American Christmas Carol,1,5
An American Christmas Carol,4,5
An American Christmas Carol,5,4
An American Christmas Carol,2,5
An American Christmas Carol,1,5
An American Christmas Carol,4,5
An American Christmas Carol,2,4
An American Christmas Carol,0,5
An American Christmas Carol,5,4
An American Christmas Carol,1,5
An American Christmas Carol,4,5
An American Christmas Carol,1,2
An American Christmas Carol,1,5
An American Christmas Carol,1,5
An American Christmas Carol,18,4
An American Christmas Carol,0,5
An American Christmas Carol,2,5
An American Christmas Carol,2,3
An American Christmas Carol,2,4
An American Christmas Carol,2,5
An American Christmas Carol,11,5
An American Christmas Carol,2,5
An American Christmas Carol,11,4
An American Christmas Carol,0,4
An American Christmas Carol,1,5
An American Christmas Carol,1,5
An American Christmas Carol,0,5
An American Christmas Carol,1,5
An American Christmas Carol,3,5
An American Christmas Carol,2,3
An American Christmas Carol,3,5
An American Christmas Carol,3,4
An American Christmas Carol,0,4
An American Christmas Carol,4,4
An American Christmas Carol,0,3
An American Christmas Carol,12,3
An American Christmas Carol,9,5
An American Christmas Carol,1,2
An American Christmas Carol,2,5
An American Christmas Carol,10,3
An American Christmas Carol,4,4
An American Christmas Carol,5,5
An American Christmas Carol,11,5
An American Christmas Carol,15,5
An American Christmas Carol,13,4
An American Christmas Carol,10,3
An American Christmas Carol,0,5
An American Christmas Carol,0,4
An American Christmas Carol,4,4
An American Christmas Carol,10,5
An American Christmas Carol,1,5
An American Christmas Carol,3,4
An American Christmas Carol,4,5
An American Christmas Carol,2,5
An American Christmas Carol,6,5
An American Christmas Carol,3,5
An American Christmas Carol,1,5
An American Christmas Carol,5,4
An American Christmas Carol,45,5
An American Christmas Carol,4,3
An American Christmas Carol,3,4
An American Christmas Carol,2,4
An American Christmas Carol,4,4
An American Christmas Carol,2,5
An American Christmas Carol,1,5
An American Christmas Carol,5,4
An American Christmas Carol,3,5
An American Christmas Carol,2,5
An American Christmas Carol,20,3
An American Christmas Carol,0,5
An American Christmas Carol,2,5
An American Christmas Carol,1,5
An American Christmas Carol,1,5
Joseph,2,4
Joseph,4,5
Joseph,26,5
Joseph,19,5
Joseph,5,5
Joseph,0,5
Joseph,3,5
Joseph,1,5
Joseph,14,5
Joseph,3,5
Joseph,0,5
Joseph,4,5
Joseph,0,5
Joseph,2,5
Joseph,0,5
Joseph,34,5
Joseph,1,5
Joseph,15,5
Joseph,8,5
Joseph,11,5
Joseph,9,5
Joseph,2,5
Joseph,0,5
Joseph,4,5
Joseph,1,5
Joseph,2,4
Joseph,4,5
Joseph,9,5
Joseph,14,5
Joseph,0,5
Joseph,24,2
Joseph,27,5
Joseph,5,5
Joseph,1,5
Joseph,1,5
Joseph,0,5
Joseph,6,5
Joseph,5,5
Joseph,1,5
Joseph,1,5
