movieName,positiveFrequency,rating
An American Christmas Carol,9,4
An American Christmas Carol,5,3
An American Christmas Carol,3,3
An American Christmas Carol,5,5
An American Christmas Carol,4,4
An American Christmas Carol,9,5
An American Christmas Carol,19,5
An American Christmas Carol,7,5
An American Christmas Carol,4,5
An American Christmas Carol,7,5
An American Christmas Carol,13,5
An American Christmas Carol,6,5
An American Christmas Carol,2,3
An American Christmas Carol,15,5
An American Christmas Carol,6,4
An American Christmas Carol,6,5
An American Christmas Carol,2,5
An American Christmas Carol,3,4
An American Christmas Carol,1,5
An American Christmas Carol,7,5
An American Christmas Carol,3,2
An American Christmas Carol,9,5
An American Christmas Carol,29,5
An American Christmas Carol,10,5
An American Christmas Carol,5,5
An American Christmas Carol,7,5
An American Christmas Carol,12,4
An American Christmas Carol,3,5
An American Christmas Carol,10,5
An American Christmas Carol,4,4
An American Christmas Carol,5,5
An American Christmas Carol,3,4
An American Christmas Carol,12,5
An American Christmas Carol,6,5
An American Christmas Carol,13,5
An American Christmas Carol,4,4
An American Christmas Carol,4,5
An American Christmas Carol,5,5
An American Christmas Carol,11,4
An American Christmas Carol,7,5
An American Christmas Carol,6,5
An American Christmas Carol,8,5
An American Christmas Carol,2,4
An American Christmas Carol,1,5
An American Christmas Carol,7,4
An American Christmas Carol,5,5
An American Christmas Carol,11,5
An American Christmas Carol,4,2
An American Christmas Carol,2,5
An American Christmas Carol,4,5
An American Christmas Carol,30,4
An American Christmas Carol,1,5
An American Christmas Carol,5,5
An American Christmas Carol,4,3
An American Christmas Carol,2,4
An American Christmas Carol,2,5
An American Christmas Carol,13,5
An American Christmas Carol,5,5
An American Christmas Carol,20,4
An American Christmas Carol,2,4
An American Christmas Carol,6,5
An American Christmas Carol,0,5
An American Christmas Carol,4,5
An American Christmas Carol,3,5
An American Christmas Carol,3,5
An American Christmas Carol,5,3
An American Christmas Carol,4,5
An American Christmas Carol,7,4
An American Christmas Carol,7,4
An American Christmas Carol,4,4
An American Christmas Carol,4,3
An American Christmas Carol,17,3
An American Christmas Carol,16,5
An American Christmas Carol,2,2
An American Christmas Carol,2,5
An American Christmas Carol,17,3
An American Christmas Carol,7,4
An American Christmas Carol,11,5
An American Christmas Carol,23,5
An American Christmas Carol,24,5
An American Christmas Carol,20,4
An American Christmas Carol,15,3
An American Christmas Carol,1,5
An American Christmas Carol,4,4
An American Christmas Carol,11,4
An American Christmas Carol,20,5
An American Christmas Carol,2,5
An American Christmas Carol,2,4
An American Christmas Carol,7,5
An American Christmas Carol,2,5
An American Christmas Carol,9,5
An American Christmas Carol,5,5
An American Christmas Carol,3,5
An American Christmas Carol,4,4
An American Christmas Carol,50,5
An American Christmas Carol,5,3
An American Christmas Carol,7,4
An American Christmas Carol,4,4
An American Christmas Carol,9,4
An American Christmas Carol,7,5
An American Christmas Carol,4,5
An American Christmas Carol,3,4
An American Christmas Carol,5,5
An American Christmas Carol,4,5
An American Christmas Carol,28,3
An American Christmas Carol,3,5
An American Christmas Carol,4,5
An American Christmas Carol,3,5
An American Christmas Carol,4,5
Joseph,6,4
Joseph,4,5
Joseph,35,5
Joseph,35,5
Joseph,16,5
Joseph,4,5
Joseph,12,5
Joseph,1,5
Joseph,22,5
Joseph,15,5
Joseph,3,5
Joseph,18,5
Joseph,4,5
Joseph,2,5
Joseph,2,5
Joseph,45,5
Joseph,6,5
Joseph,23,5
Joseph,18,5
Joseph,34,5
Joseph,14,5
Joseph,7,5
Joseph,7,5
